Twitter User,Texto,Fecha de Creado,Hora,Región,Número de palabras,Número de letras,App Username,Tag
b'M\xc3\xa1s Raz\xc3\xb3n Q Un Santo - Jes\xc3\xbas Mu\xc3\xb1oz - AD\xc3\x91',"b'RT @SindicatoTNS: Recordad que todas las intervenciones (Texto y Audio) de Jes\xc3\xbas Mu\xc3\xb1oz\n@MasRazonqUnSant\n\nen el programa ""Sencillamente Radi\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'19',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'\xe2\x93\x99 \xe2\x93\xa4 \xe2\x93\x90 \xe2\x93\x9d \xe2\x93\x93 \xe2\x93\x94',b'RT @sosdesaparecido: \xf0\x9f\x86\x98 DESAPARECIDA\nActualizaci\xc3\xb3n de imagen \n#Desaparecidos #sosdesaparecidos #Missing #Espa\xc3\xb1a #Huelva #Campillo https://t.\xe2\x80\xa6',b'2018-12-16',b'11',b'Musho Betis !!!',b'14',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'ILARIA M  \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 \xf0\x9f\x87\xa8\xf0\x9f\x87\xad',"b'RT @RogerHalsted: #Megalizzi ""ucciso da chi odia l\'#Europa""?\nEh no signori miei, \xc3\xa8 stato ucciso anche da quelle idee di immigrazionismo, gl\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'22',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'alexandre sgroi',"b'RT @ReyesYCastillos: Castillo Dr\xc3\xa1cula. Transilvania, Ruman\xc3\xada. #castillo #castillos #castle #castles #transilvania #rumania #romania #dracul\xe2\x80\xa6'",b'2018-12-16',b'11',"b'Nice, France'",b'14',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Carmela Ramos (mam\xc3\xa1 de Dar\xc3\xado)',b'Domingos fr\xc3\xados \xe2\x9d\x84\xef\xb8\x8f jugando en casa de la abuela \xf0\x9f\x91\xb5 #cordoba #espa\xc3\xb1a #bebefeliz #domingo #babylove #babyboy\xe2\x80\xa6 https://t.co/twIdYVkEid',b'2018-12-16',b'11',"b'C\xc3\xb3rdoba, Espa\xc3\xb1a'",b'17',b'129',b'MasterBigData',b'#Espa\xc3\xb1a'
b'MGR Production',"b'@luigidimaio Scusi la domanda irriverente ma a parte festini sul tevere, le litigate con #Salvini e i pianti in pub\xe2\x80\xa6 https://t.co/iNEMlLREV2'",b'2018-12-16',b'11',"b'Milan, Lombardy'",b'21',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'F. Pelufo-Esveritate',b'RT @KOKOROALMA: En Navidad sum\xc3\xa9rgete en la Obra de Juan Sevillano \nMEMORIA DEL PARA\xc3\x8dSO \nEL CIRINEO \nLa Vida y un d\xc3\xada \n@RoMemoria #libros #l\xe2\x80\xa6',b'2018-12-16',b'11',b'46184 - Valencia - Espa\xc3\xb1a',b'24',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Oriano Felice\xe2\x9c\x9d\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb9.       #IamTommyRobinson',"b'RT @RogerHalsted: #Megalizzi ""ucciso da chi odia l\'#Europa""?\nEh no signori miei, \xc3\xa8 stato ucciso anche da quelle idee di immigrazionismo, gl\xe2\x80\xa6'",b'2018-12-16',b'11',b'BEN PIANTATO QUI',b'22',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'ASG News',b'#Schweiz: 2. Europa Barometer 2018 - Stabile Beziehungen zu #Europa haben Priorit\xc3\xa4t / https://t.co/ndTvkrFzJp via\xe2\x80\xa6 https://t.co/HPOVZ4Lbye',b'2018-12-16',b'11',b'Schlierseestra\xc3\x9fe 20 - M\xc3\xbcnchen',b'16',b'138',b'MasterBigData',b'#Espa\xc3\xb1a'
b'carlos quinto',"b'THE QUEEN\nH.M. Queen Maria Cristina of Spain, n\xc3\xa9e Archduchess of Austria\xc2\xa0 (1858-1926)\n\n#thequeen\xe2\x80\xa6 https://t.co/h7vX7fMqG6'",b'2018-12-16',b'11',b'None',b'15',b'121',b'MasterBigData',b'#Espa\xc3\xb1a'
b'iurisfeminae',"b'Los tribunales espa\xc3\xb1oles resolvieron m\xc3\xa1s de 1,2 millones de asuntos en el tercer trimestre #Justicia #Espa\xc3\xb1a #Datos'",b'2018-12-16',b'11',"b'Zaragoza, Espa\xc3\xb1a'",b'17',b'115',b'MasterBigData',b'#Espa\xc3\xb1a'
b'alexandre sgroi',"b'RT @ReyesYCastillos: Castillo Dr\xc3\xa1cula. Transilvania, Ruman\xc3\xada. #castillo #castillos #castle #castles #transilvania #rumania #romania #dracul\xe2\x80\xa6'",b'2018-12-16',b'11',"b'Nice, France'",b'14',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Manchego FreePoliticalPrisoners',"b'Otro SociVampi, los ""catalanes abandonados"" le importan una mierda, lo que le preocupa es su raci\xc3\xb3n de sangre catal\xe2\x80\xa6 https://t.co/baSa6XorLI'",b'2018-12-16',b'11',b'Castilla La Marcha.',b'20',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'GO! Valladolid',"b'RT @AyuntamientoVLL: .@oscar_puente_: ""Las instalaciones de #PepeRojo son las mejores de #Espa\xc3\xb1a para jugar al rugby y hay que trabajar par\xe2\x80\xa6'",b'2018-12-16',b'11',"b'Valladolid, Espa\xc3\xb1a'",b'21',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Marina #TeamInca',b'RT @sosdesaparecido: \xf0\x9f\x86\x98DESAPARECIDO\n#desaparecido #sosdesaparecidos #Missing #Espa\xc3\xb1a #CortijosNuevos #Ja\xc3\xa9n https://t.co/bUeoTM7955',b'2018-12-16',b'11',b'None',b'10',b'129',b'MasterBigData',b'#Espa\xc3\xb1a'
b'marcello zanna',"b""RT @giu33liana: @mrcllznn \xf0\x9f\x99\x82#UE ha DIRITTI TUTELE &amp; WELFARE unici al Mondo\n\n\xf0\x9f\x99\x82#PIL pari a #USA e #Cina.\n\nNessun singolo Paese d'#Europa \npu\xc3\xb2\xe2\x80\xa6""",b'2018-12-16',b'11',b'Bologna',b'23',b'143',b'MasterBigData',b'#Espa\xc3\xb1a'
b'AysebA\xc5\x9fAk Polat',b'RT @vinny2033: we have to https://t.co/3cL39BeDwZ',b'2018-12-16',b'11',b'None',b'6',b'49',b'MasterBigData',b'#Espa\xc3\xb1a'
b'\xe9\x9f\x93\xe7\xb4\x85',b'RT @VAV_official: [#TODAY_VAV]\n#181215 #VAV2018MeetNLiveInEurope #SenoritaTour #VAV #\xeb\xb8\x8c\xec\x9d\xb4\xec\x97\x90\xec\x9d\xb4\xeb\xb8\x8c\xec\x9d\xb4 Thank\xc2\xa0you\xc2\xa0all\xc2\xa0for\xc2\xa0being\xc2\xa0with\xc2\xa0us!!!\nSpain #VAMPZ\xe2\x80\xa6',b'2018-12-16',b'11',b'\xe3\x83\x8f\xe3\x83\xac\xe3\x83\xb3\xe3\x83\x81\xe4\xbe\x9d\xe5\xad\x98\xe7\x97\x87',b'17',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'hiro',b'MAI KURAKI https://t.co/iaHSeYfYQh #NP #TRAVEL #MUSIC #USA #UK #SOUNDCLOUD #Japan #TOKYO2020 #turkey #india #Marketing #SEO #Espa\xc3\xb1a',b'2018-12-16',b'11',b'None',b'16',b'131',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Troyano',b'RT @Spesfdez: Aviso a hispan\xc3\xb3fobos: cambio de tendencia en el uso de sustitutos para evitar mencionar a Espa\xc3\xb1a: pasa de moda \xe2\x80\x9ceste pa\xc3\xads\xe2\x80\x9d y\xe2\x80\xa6',b'2018-12-16',b'11',b'Zihuatanejo',b'24',b'139',b'MasterBigData',b'#Espa\xc3\xb1a'
b'AdelheidsdorferBuergergegenSuedLink',"b'Danke, da\xc3\x9f die Demonstrationen weiter gehen. Herr Macron mu\xc3\x9f sich doch fragen, ob seine Regierung etwas falsch gema\xe2\x80\xa6 https://t.co/esXRWZOCBc'",b'2018-12-16',b'11',b'None',b'19',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Alberto Marcelli',"b'RT @RogerHalsted: #Megalizzi ""ucciso da chi odia l\'#Europa""?\nEh no signori miei, \xc3\xa8 stato ucciso anche da quelle idee di immigrazionismo, gl\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'22',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'CaraotaDigital',b'#CaraotaDigital | Gaby Spanic estar\xc3\xa1 de gira por #Espa\xc3\xb1a con su obra Divinas / Por: @CaraotaShowVE https://t.co/yizIKt5L9b            |/',b'2018-12-16',b'11',b'Caracas - Venezuela',b'18',b'136',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Serial Twetter',"b""RT @giu33liana: @mrcllznn \xf0\x9f\x99\x82#UE ha DIRITTI TUTELE &amp; WELFARE unici al Mondo\n\n\xf0\x9f\x99\x82#PIL pari a #USA e #Cina.\n\nNessun singolo Paese d'#Europa \npu\xc3\xb2\xe2\x80\xa6""",b'2018-12-16',b'11',b'None',b'23',b'143',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Cr\xc3\xb3nica Global',b'La ayuda a la dependencia en #Catalu\xc3\xb1a se queda un 25% por debajo del resto de #Espa\xc3\xb1a https://t.co/LDWxVc1K7b',b'2018-12-16',b'11',b'Barcelona',b'18',b'110',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Edojema',b'RT @avatarenergia: Ordenador que anticipa desastres naturales. https://t.co/6S9SBGCi7r\n#ordenador #ordenadores #centrodedatos #eventosmeteo\xe2\x80\xa6',b'2018-12-16',b'11',b'None',b'12',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'S.Podevyn-Gijselaar',b'RT @t1Adriaan: Heeft U een degout van de #marrakeshcoalitie?\n\n#7dag #Brussel #Belgie #Politiek @CharlesMichel #nieuws #calvo #Europa \nDelen\xe2\x80\xa6',b'2018-12-16',b'11',b'Belgium',b'18',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'marisol solari',"b'RT @rogeliomarin13: #FRANCIA...#INGLATERRA...#ALEMANIA...\n#LATINOAM\xc3\x89RICA SERA\'?\nDiario Argentina Hoy @ArgentinaHoyOk\n  Los ""#ChalecosAmaril\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'11',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'sabinimandarini',b'RT @66Norweger66: Diese Forderung der #Gelbwesten klingen aber ganz anders als das was uns die Medien immer erz\xc3\xa4hlen!\n\n#ZDF #Europa #Gilets\xe2\x80\xa6',b'2018-12-16',b'11',b'None',b'21',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Marina',b'RT @Acerina56: #SEVILLA #ESPA\xc3\x91A #M\xc3\x81XIMADIFUSI\xc3\x93N POR FAVOR #URGENTE \xc2\xbfPueden ayudar? Gracias a todos https://t.co/rlvZvavS3T',b'2018-12-16',b'11',b'Euskal Herria',b'14',b'122',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Angel Tom\xc3\xa9 Cancho',b'RT @sosdesaparecido: \xf0\x9f\x86\x98 DESAPARECIDA\nActualizaci\xc3\xb3n de imagen \n#Desaparecidos #sosdesaparecidos #Missing #Espa\xc3\xb1a #Huelva #Campillo https://t.\xe2\x80\xa6',b'2018-12-16',b'11',b'C\xc3\xa1ceres',b'14',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
